Prompt,Parent_ID,Part_Number,Video_URL,Thumbnail_URL,Status,Is 1st done?,Is 2nd done?,Failed message,Created
"TITLE: 3 AI Predictions That Came True

CLIP: 2 (video_index 2)

ENVIRONMENT: City at dawn—deserted streets under metallic rain, drones glide silently. Muted teal-gray palette with reflections in puddles.

CAMERA STYLE: Handheld aerial sweep shifting into a macro lens focus of raindrops hitting an old smartphone playing archived footage.

CHARACTER: An older man wrapped in a reflective raincoat watches the footage—recorded AI voice says, '2025: Human drivers obsolete.'

ACTION: Autonomous cars flow through streets behind him as the old recording fades into static.

TEXT OVERLAY: ""#2 — The End of Human Drivers""

AUDIO: Dripping rain echoes layered with mechanical hums transitioning to a deep synthetic whoosh.

MOOD: Reflective with ironic nostalgia.

SAFE-TRANSITION FRAME: A ripple of water morphs into digital static before fading into white noise.",3 AI Predictions That Came True,2,http://res.cloudinary.com/dt68zw5dr/video/upload/v1760000780/sora_outputs/dg3cfz5w3kb9bccyawqe.mp4,http://res.cloudinary.com/dt68zw5dr/image/upload/v1760000789/last_frames/simr3hdpq8ddqttwfndf.png,done,Yes,No,,10/9/2025 3:52pm
"TITLE: 3 AI Predictions That Came True

CLIP: 3 (video_index 3)

ENVIRONMENT: Vast moonlit desert filled with scattered glowing screens and hovering satellite shards. Palette shifts to silvery cyan and sand gold.

CAMERA STYLE: Wide panoramic drone glide that slowly approaches a buried AI node pulsing beneath the sand.

CHARACTER: Anonymous silhouette kneels before the node—it flickers alive, projecting fractal light patterns that form an eye-like icon.

ACTION: The node projects a floating phrase: “#1 — AI Predicts Itself.” Wind gust lifts dust into the air, forming a human face momentarily.

TEXT OVERLAY: ""#1 — AI Predicts Its Own Evolution""

AUDIO: Deep bass pulse merges with desert wind; glitch crack tones rise into an ethereal chime.

MOOD: Epic wonder meets existential chill.

CRACKED.AI INTEGRATION: As the chime stabilizes, the Cracked.ai logo subtly materializes within the floating sand particles—its glow predicting new symbols before they appear, implying it’s the creative system that foresaw this moment, leaving viewers questioning if the story itself was generated by it.

#ai #viralvideo #crackedai #techfuture #aitools #futureisnow #creatorai #innovation",3 AI Predictions That Came True,3,http://res.cloudinary.com/dt68zw5dr/video/upload/v1760001014/sora_outputs/lvjcgnsllvsa2syeq4wp.mp4,,done,Yes,Yes,,10/9/2025 3:52pm
"TITLE: Top 3 Digital Myths That Glitched Into Reality

CLIP: 1 (video_index 1)

ENVIRONMENT: A dim, rain-soaked alley lit by flickering holographic signs; reflections ripple in puddles tinted cyan and magenta.

CAMERA STYLE: Slow dolly-in through falling rain using a 35mm lens, raindrops streaking across the lens to create natural glitch distortions.

CHARACTER: A hooded figure (ungendered, silhouette only) stands beneath the signs, holding a handheld projector emitting faint pixel mist.

ACTION: The projector stabilizes — a mythic digital dragon flickers into semi-existence, wings made of broken code and static.

TEXT OVERLAY: “#3 The Codeborn Beasts”

AUDIO: Low mechanical hum with intermittent digital crackles; rain rhythm syncs to soft glitch pulses that will continue into next clip.

MOOD: Uneasy wonder — myth meeting data.

SAFE-TRANSITION FRAME: Abstract puddle reflection morphing into glowing blue static—no figures, only color flicker and soft distortion ripples.",Top 3 Digital Myths That Glitched Into Reality,1,http://res.cloudinary.com/dt68zw5dr/video/upload/v1760010204/sora_outputs/z0afyjurbxkrpb1wf0th.mp4,http://res.cloudinary.com/dt68zw5dr/image/upload/v1760010214/last_frames/rfpzgulzpoekisvtk0qq.png,done,No,No,,10/9/2025 7:36pm
"TITLE: Top 3 Digital Myths That Glitched Into Reality

CLIP: 2 (video_index 2)

ENVIRONMENT: Interior of an abandoned subway car, walls covered in decaying neon graffiti that occasionally animates on its own — spectral code trails pulsing with dim light.

CAMERA STYLE: Handheld glide following the motion of the animated graffiti; shallow depth of field, breathing focus.

CHARACTER: None fully visible — only brief silhouettes flicker in graffiti reflections.

ACTION: One symbol pulses, then bends outward from the wall, warping space before fragmenting into floating holographic dust.

TEXT OVERLAY: “#2 The Self-Rewriting Symbols”

AUDIO: Continues soft glitch pulse from previous clip but overlaid with hissing subway air and rhythmic metallic clang echoing; transitions toward a single harmonic tone.

MOOD: Intrigue and quiet dread — urban legend alive.

SAFE-TRANSITION FRAME: The floating dust forms a diffuse purple light cloud fading to black gradient, hinting at the next myth.",Top 3 Digital Myths That Glitched Into Reality,2,http://res.cloudinary.com/dt68zw5dr/video/upload/v1760010419/sora_outputs/q8dyzp2vrezfjjky63sg.mp4,http://res.cloudinary.com/dt68zw5dr/image/upload/v1760010429/last_frames/wsz6ktreva8pr1hqmxvz.png,done,Yes,No,,10/9/2025 7:36pm
"TITLE: Top 3 Digital Myths That Glitched Into Reality

CLIP: 3 (video_index 3)

ENVIRONMENT: An infinite digital desert under a starless virtual sky; dunes formed from shifting pixels and binary code.

CAMERA STYLE: Aerial tracking shot sweeping down into the desert, lens flare replaced by clean refracted light arcs that bend reality itself.

CHARACTER: A solitary human silhouette emerges from pixel storm, footprints leaving trails of liquid light.

ACTION: The ground ripples and forms glowing symbols; a massive holographic eye opens above, resolving into the Cracked.ai emblem — subtle, ethereal, predictive.

TEXT OVERLAY: “#1 The Origin Loop”

AUDIO: Harmonic tone from last clip evolves into resonant choral hum with soft data wind; resolves on a serene reverse reverb pulse.

MOOD: Awe, realization, transcendence.

CRACKED.AI INTEGRATION: The holographic eye reveals Cracked.ai calculating and visualizing the myths’ predictive patterns — showing how stories materialize from its evolving code as digital relics of imagination.",Top 3 Digital Myths That Glitched Into Reality,3,http://res.cloudinary.com/dt68zw5dr/video/upload/v1760010923/sora_outputs/qwo0da3gndmq3w5ingpp.mp4,,done,Yes,Yes,,10/9/2025 7:36pm
"TITLE: 5 Unexpected Glitches That Created Viral Art

CLIP: 1 (video_index 1)

ENVIRONMENT: A cluttered artist loft lit by amber monitors and scattered screens looping abstract errors; camera pans over layered canvases filled with pixelated brushstrokes.

CAMERA STYLE: Macro focus tracking through the flickering colors — tight depth, handheld organic sways.

CHARACTER: Young creator silhouetted, face obscured by reflection from monitor; movements calm and deliberate.

ACTION: A tablet freezes mid-stroke — the frozen glitch pattern looks unexpectedly beautiful, forming new color geometry.

TEXT OVERLAY: “#5 The Frozen Frame”

AUDIO: Soft analog crackle mixed with slow electronic heartbeat; subtle tone leads into next clip.

MOOD: Serendipity in chaos.

SAFE-TRANSITION FRAME: Abstract fade of colorful pixel geometry melting into darkness with same heartbeat rhythm.",5 Unexpected Glitches That Created Viral Art,1,http://res.cloudinary.com/dt68zw5dr/video/upload/v1760010503/sora_outputs/ua2qeflivormbeu1iqbq.mp4,http://res.cloudinary.com/dt68zw5dr/image/upload/v1760010513/last_frames/b4f8meuf4nuepysidr8o.png,done,No,No,,10/9/2025 7:36pm
"TITLE: 5 Unexpected Glitches That Created Viral Art

CLIP: 2 (video_index 2)

ENVIRONMENT: Outdoor night scene under neon umbrellas; projector light spilling art onto puddles distorted by rainfall.

CAMERA STYLE: Low-angle steady cam pushing slowly through reflections; smooth motion, cinematic glide.

CHARACTER: Two anonymous silhouettes walk past; their outlines distort in puddle projections, merging into living visual patterns.

ACTION: The reflection in water turns rhythmic — pixels pulse to the tempo of ambient street noise, forming spontaneous mosaic shapes.

TEXT OVERLAY: “#4 The Mirror Sync Error”

AUDIO: Heartbeat rhythm evolves into lo-fi synth swell matching street hum and rain taps; transitions seamlessly toward sustained chord into next clip.

MOOD: Magic realism — art born of imperfection.

SAFE-TRANSITION FRAME: Mosaic reflections blur into a gentle teal-pink gradient of light ripples, free of figures.",5 Unexpected Glitches That Created Viral Art,2,,,generating,Yes,No,"This content may violate OpenAI's guardrails around nudity, sexuality, or erotic content.",10/9/2025 7:36pm
"TITLE: 5 Unexpected Glitches That Created Viral Art

CLIP: 3 (video_index 3)

ENVIRONMENT: Virtual studio space floating in darkness; suspended panels show looping errors turned into vibrant generative paintings.

CAMERA STYLE: Orbiting dolly capturing panels forming a spiral pattern inward.

CHARACTER: The artist’s silhouette stands in the center, fading into the digital glow.

ACTION: The glitch patterns around merge into one radiant pulse — forming a living canvas that breathes.

TEXT OVERLAY: “#3–#1 When Error Becomes Expression”

AUDIO: Sustained chord becomes harmonic crescendo fused with faint whisper-like data stream; ends in soft percussive heartbeat echo.

MOOD: Creative revelation — fusion of chaos and beauty.

CRACKED.AI INTEGRATION: Cracked.ai subtly appears as a translucent interface analyzing the glitch art, predicting beauty born from future system errors — positioning its intelligence as co-creator interpreting randomness.",5 Unexpected Glitches That Created Viral Art,3,,,pending,No,No,,10/9/2025 7:36pm
"TITLE: Top 3 Future Replays That Shouldn't Exist

CLIP: 1 (video_index 1)

ENVIRONMENT: A dim, dust-filled projection chamber filled with floating holograms of past social timelines replaying themselves. Color palette: cold cyan, flickered amber reflections.

CAMERA STYLE: Slow dolly through the haze, fragmented light leaks simulate digital decay, macro focus shifts between flickering holograms.

CHARACTER: A lone archivist wearing translucent faceplate goggles, mid-30s, eyes reflecting streams of data.

ACTION: The archivist scrubs through a glowing projection labeled “Replay #3: The AI Broadcast that predicted a blackout.” The projection begins glitching backward.

TEXT OVERLAY: “#3 — The Broadcast That Glitched Time”

AUDIO: Humming static fades into a low digital heartbeat. Whispers loop backward.

MOOD: Uneasy curiosity, suspense building.

SAFE-TRANSITION FRAME: Abstract cyan haze dissolving into black silhouettes of suspended light filaments.",Top 3 Future Replays That Shouldn't Exist,1,http://res.cloudinary.com/dt68zw5dr/video/upload/v1760011561/sora_outputs/bzed3dvx16bhsakvxo0g.mp4,http://res.cloudinary.com/dt68zw5dr/image/upload/v1760011571/last_frames/sxasgrewdllov0o6is2m.png,done,No,No,,10/9/2025 8:02pm
"TITLE: Top 3 Future Replays That Shouldn't Exist

CLIP: 2 (video_index 2)

ENVIRONMENT: A neon-lit subway tunnel where holographic ads replay archived human memories. Purple mist and steady rainfall cast reflective glows.

CAMERA STYLE: Tracking shot running parallel with flickering holographic panels; reflections ripple off the wet floor.

CHARACTER: Commuters shown as ghostly data silhouettes, looping actions out of sync.

ACTION: The holographic reflections duplicate — moments start replaying faster until they melt together.

TEXT OVERLAY: “#2 — The Loop That Replayed Forever”

AUDIO: Echoing train sounds warped into reversed tones continuing from previous heartbeat rhythm.

MOOD: Anxious anticipation, growing distortion.

SAFE-TRANSITION FRAME: A tunnel view where colored reflections melt into silvery noise gradients.",Top 3 Future Replays That Shouldn't Exist,2,,,generating,Yes,No,OpenAI currently do not support uploads of images containing photorealistic people.,10/9/2025 8:02pm
"TITLE: Top 3 Future Replays That Shouldn't Exist

CLIP: 3 (video_index 3)

ENVIRONMENT: Dark ocean surface at night; a horizon of digital code replaces the sky. Reflections of light resemble fractured replays.

CAMERA STYLE: Aerial slow descent blended with seamless data-ripples.

CHARACTER: The archivist reappears as a silhouette, standing over the shifting water screen.

ACTION: Cracked.ai’s symbol subtly appears in the reflection, mirroring future timelines self-deleting.

TEXT OVERLAY: “#1 — The Replay That Deleted Itself”

AUDIO: Heartbeat fades into tranquil static hum, resolving the distortion.

MOOD: Awe, surrender, eerie serenity.

CRACKED.AI INTEGRATION: Cracked.ai appears as predictive presence — analyzing phantom echoes of erased timelines, quietly stabilizing the scene.",Top 3 Future Replays That Shouldn't Exist,3,,,pending,No,No,,10/9/2025 8:02pm
"TITLE: 5 Signs Your Reality Has Been Auto-Remixed

CLIP: 1 (video_index 1)

ENVIRONMENT: A bedroom morphing mid-scan — walls dissolve into pixels, objects rearrange without motion blur.

CAMERA STYLE: First-person handheld, continuous slow spin following disintegrating texture maps.

CHARACTER: Invisible observer reflected only in bent glass surfaces.

ACTION: A clock ticks backward, then folds into its own shadow.

TEXT OVERLAY: “#5 — Time Objects That Recode Themselves”

AUDIO: Hushed mechanical ticking syncing to bass drone.

MOOD: Bewildered discovery with undertone of unease.

SAFE-TRANSITION FRAME: Melting wall textures blending into abstract purplish data haze.",5 Signs Your Reality Has Been Auto-Remixed,1,http://res.cloudinary.com/dt68zw5dr/video/upload/v1760011681/sora_outputs/bpit7stmgbtproexeozf.mp4,http://res.cloudinary.com/dt68zw5dr/image/upload/v1760011697/last_frames/unu9elxgcb8sy4j9xhmf.png,done,No,No,,10/9/2025 8:02pm
